annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
COG0031	0.920780	0.905903	0.933458	0.973001	0.987272	0.943204	0.946827	0.925948	0.965025	1.004883	0.876496	0.906975	0.885598	0.576322	0.918252	0.999310	0.913307	0.957161	1.087645	0.987632	0.769321	0.668669	0.493951	0.934945	0.911684	0.901741	0.995025	0.938250	0.988097	0.702772	0.637406	0.616170	0.800656	0.920185	0.926051	0.892613	0.873994	0.920586	0.970692	0.924232	0.937955	0.514982	0.539954	0.903968	0.872408	0.922287	0.931710	0.729286	0.907483	0.952979
COG0033	0.102166	0.105482	0.127058	0.118303	0.157803	0.093594	0.135059	0.114683	0.146087	0.132777	0.194848	0.151047	0.090963	0.406853	0.086715	0.151113	0.123392	0.492208	0.535151	0.493516	0.297925	0.348331	0.466695	0.098389	0.080954	0.091882	0.205080	0.227933	0.205688	0.330210	0.369644	0.420095	0.293611	0.080589	0.091204	0.075835	0.072048	0.191545	0.229545	0.234378	0.170466	0.400742	0.406431	0.076140	0.062251	0.272531	0.239721	0.371675	0.089473	0.215969
COG0034	1.091810	1.098753	1.084930	1.109342	1.091546	1.105518	1.112676	1.106311	1.108874	1.104195	1.040505	1.035412	1.103001	0.599020	1.098846	1.075270	1.078447	0.884953	0.947151	1.101091	0.853204	0.753099	0.563205	1.127215	1.112928	1.115752	1.062357	0.989339	1.069513	0.753764	0.750019	0.673860	0.851946	1.075283	1.101242	1.086732	1.092357	1.013959	1.034982	0.996327	1.050730	0.523316	0.536117	1.054201	1.062930	0.912634	0.930787	0.768998	1.076462	1.038528
COG0035	0.141399	0.122331	0.162307	0.159483	0.175353	0.142134	0.177258	0.143324	0.175373	0.171944	0.163884	0.167757	0.127589	0.297108	0.144563	0.186573	0.151266	0.220322	0.278116	0.240787	0.209698	0.291353	0.303728	0.145408	0.132784	0.125788	0.198319	0.180474	0.186071	0.254547	0.261765	0.283056	0.228747	0.119830	0.130554	0.119040	0.122121	0.162143	0.181581	0.197191	0.155538	0.299567	0.329931	0.117005	0.111018	0.195007	0.178459	0.247329	0.136669	0.164811
COG0036	0.629280	0.612014	0.610187	0.605190	0.597337	0.625402	0.642668	0.620153	0.596903	0.607812	0.588923	0.583525	0.607187	0.367983	0.599614	0.615777	0.606233	0.557182	0.539946	0.485561	0.495049	0.385377	0.320588	0.609709	0.618427	0.622055	0.553834	0.560931	0.573789	0.407010	0.392414	0.351260	0.502600	0.611739	0.609485	0.612209	0.616216	0.568230	0.592880	0.576140	0.574647	0.293002	0.318744	0.606402	0.609153	0.541637	0.550152	0.431548	0.633331	0.591963
COG0037	0.830350	0.858015	0.850411	0.822776	0.820281	0.860629	0.866156	0.836180	0.852530	0.857550	0.919588	0.899008	0.825405	0.693761	0.861092	0.905262	0.868790	0.798269	0.717100	0.681446	0.776208	0.719535	0.720809	0.816940	0.826261	0.888990	0.914848	0.875931	0.872387	0.750778	0.770698	0.763403	0.742825	0.950595	0.952399	0.917806	0.924268	0.868392	0.890064	0.857729	0.883485	0.686880	0.688404	0.936502	0.938202	0.799123	0.817699	0.738823	0.910459	0.846974
COG0038	0.326774	0.322855	0.370438	0.386828	0.408370	0.318331	0.395530	0.341276	0.386277	0.415494	0.445864	0.415527	0.307001	0.791040	0.313727	0.440503	0.357317	0.792911	0.953608	0.912054	0.597910	0.702826	0.823672	0.314138	0.294798	0.295994	0.476167	0.495170	0.444068	0.676416	0.741824	0.803897	0.613672	0.287577	0.290392	0.287325	0.267770	0.478496	0.503074	0.484496	0.396314	0.882165	0.821470	0.317885	0.290373	0.558089	0.485445	0.693612	0.295767	0.456946
COG0039	0.777818	0.766623	0.752617	0.773831	0.773408	0.783026	0.760220	0.777698	0.785010	0.797098	0.696366	0.694526	0.758896	0.480242	0.729924	0.697806	0.727853	0.580361	0.588024	0.555835	0.628392	0.534368	0.531628	0.796708	0.781285	0.748272	0.684349	0.680205	0.707316	0.566415	0.541219	0.417392	0.603819	0.728036	0.736066	0.738551	0.738193	0.735023	0.681142	0.677629	0.696442	0.378249	0.433284	0.777202	0.776655	0.641939	0.649960	0.525751	0.757778	0.702291
COG0040	0.507941	0.505032	0.522700	0.519401	0.496537	0.505265	0.523987	0.478642	0.514749	0.531319	0.516776	0.498359	0.493617	0.277670	0.499998	0.512741	0.506594	0.385446	0.360239	0.367880	0.412780	0.350761	0.304755	0.498477	0.513416	0.520213	0.510538	0.474553	0.496214	0.339019	0.317816	0.299876	0.373142	0.527436	0.520869	0.532974	0.525474	0.486761	0.485552	0.480741	0.485410	0.297485	0.273788	0.543594	0.532770	0.448207	0.468764	0.348747	0.541968	0.486237
COG0041	0.513951	0.496737	0.501701	0.509964	0.521809	0.526164	0.528815	0.507585	0.530790	0.531156	0.482775	0.469475	0.480564	0.160528	0.461503	0.526246	0.487568	0.320291	0.326333	0.296587	0.341944	0.235556	0.139376	0.508322	0.498558	0.501208	0.452333	0.452282	0.442247	0.270553	0.212072	0.178183	0.341684	0.497346	0.490308	0.489843	0.493294	0.447211	0.456239	0.459262	0.447481	0.167389	0.196702	0.548921	0.523787	0.386507	0.437824	0.266865	0.522839	0.466020
COG0042	0.954116	0.931010	0.981112	1.006152	1.026494	0.971779	1.010094	0.966964	1.035623	1.060789	1.015864	0.975925	0.922083	0.709812	0.918934	1.056129	0.949028	1.062121	1.219914	1.106405	0.914174	0.831949	0.639118	0.974771	0.938823	0.973648	1.013446	0.967362	0.996825	0.821679	0.790933	0.703899	0.945161	0.928136	0.939713	0.927396	0.914392	0.993155	1.003733	1.029404	0.959959	0.652554	0.619805	0.966093	0.958238	0.988832	0.987794	0.837587	0.964765	0.988823
