annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
K12962	0.000834	0.000414	0.001099	0.000929	0.000184	0.000262	0.001274	0.000063	0.000390	0.001147	0.000684	0.000926	0.000690	0.000000	0.000338	0.000299	0.000628	0.000596	0.002966	0.002120	0.000264	0.001671	0.000000	0.000507	0.000205	0.000204	0.000111	0.000000	0.000727	0.001331	0.000297	0.000562	0.000294	0.000307	0.000507	0.000493	0.000290	0.000648	0.000126	0.000383	0.000806	0.000806	0.002334	0.000865	0.000855	0.000840	0.000483	0.000784	0.000348	0.000841
K12972	0.120960	0.108788	0.121846	0.123400	0.125908	0.122682	0.137794	0.118358	0.127280	0.128976	0.100439	0.122826	0.099807	0.048281	0.118890	0.140315	0.114013	0.065073	0.065188	0.071606	0.060728	0.048657	0.045034	0.122224	0.118411	0.111096	0.112553	0.095059	0.100211	0.056374	0.055134	0.049470	0.061627	0.103360	0.097196	0.109225	0.112422	0.115895	0.104642	0.129617	0.106177	0.038700	0.039635	0.110306	0.099628	0.096561	0.078248	0.054868	0.115000	0.108776
K12973	0.000000	0.000000	0.000000	0.000073	0.000000	0.000256	0.000000	0.000135	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000161	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000257	0.000051	0.000216	0.000000	0.000051	0.000263	0.000000	0.000000	0.000226	0.000000	0.000000	0.000000	0.000000	0.000176	0.000000	0.000000	0.000033	0.000000
K12974	0.018180	0.020544	0.014262	0.016435	0.015632	0.021861	0.020297	0.018767	0.016147	0.013901	0.018967	0.017474	0.018415	0.009233	0.016273	0.012922	0.019524	0.003389	0.003041	0.005752	0.010091	0.004712	0.003707	0.023923	0.024015	0.022386	0.012621	0.008254	0.014233	0.003851	0.003407	0.001316	0.007998	0.025861	0.022282	0.022209	0.022847	0.008709	0.010911	0.016543	0.014810	0.003581	0.005609	0.022255	0.022503	0.008209	0.007378	0.004602	0.022086	0.009249
K12976	0.000805	0.000151	0.000719	0.001652	0.000387	0.000602	0.001209	0.001797	0.000682	0.001115	0.000963	0.001121	0.000527	0.000350	0.000631	0.001074	0.000428	0.000320	0.000000	0.000000	0.000000	0.000381	0.000000	0.000820	0.000950	0.000539	0.000444	0.000955	0.001191	0.000317	0.000363	0.000000	0.000000	0.000410	0.000657	0.000520	0.000448	0.001210	0.001654	0.000590	0.000957	0.000959	0.000510	0.000218	0.000155	0.000442	0.000170	0.000558	0.000782	0.000422
K12977	0.000259	0.000469	0.000551	0.000159	0.000899	0.000000	0.000000	0.000000	0.000516	0.000000	0.000000	0.000000	0.000000	0.000000	0.000611	0.000176	0.000000	0.000000	0.000459	0.000000	0.000286	0.000000	0.000000	0.000053	0.000147	0.000198	0.000265	0.000000	0.000157	0.000000	0.000321	0.000000	0.000000	0.000101	0.000057	0.000156	0.000050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000066	0.000136
K12978	0.003828	0.006057	0.004521	0.003680	0.003876	0.004058	0.004737	0.004428	0.004053	0.003723	0.003736	0.006790	0.003384	0.004134	0.003870	0.006383	0.003119	0.002026	0.003114	0.001421	0.002352	0.003884	0.004118	0.004213	0.004219	0.005030	0.005441	0.003131	0.004307	0.003949	0.002495	0.006963	0.001962	0.005898	0.003972	0.005824	0.005354	0.003171	0.006851	0.003989	0.004198	0.004095	0.002438	0.005853	0.005845	0.005378	0.002611	0.003333	0.006002	0.003947
K12979	0.023469	0.019202	0.020817	0.019840	0.019071	0.016743	0.019825	0.018859	0.019820	0.017496	0.028541	0.020586	0.021344	0.028352	0.021452	0.020566	0.020352	0.037844	0.037163	0.048559	0.024664	0.021113	0.020509	0.017770	0.017493	0.017719	0.031553	0.042237	0.029733	0.016351	0.024724	0.014905	0.028918	0.019542	0.022534	0.021340	0.019460	0.028742	0.024642	0.030533	0.025253	0.012326	0.016276	0.020640	0.019855	0.031977	0.033587	0.021965	0.019682	0.027294
K12980	0.004414	0.003711	0.002951	0.005226	0.003178	0.003304	0.003896	0.003428	0.002212	0.003114	0.001625	0.002905	0.002396	0.000696	0.003837	0.002001	0.001557	0.001170	0.003186	0.002826	0.001286	0.000824	0.000472	0.002576	0.003054	0.002621	0.005079	0.002794	0.002221	0.001927	0.000360	0.000000	0.001229	0.003136	0.002660	0.002736	0.002485	0.002052	0.002368	0.002501	0.002183	0.000587	0.002345	0.002532	0.002255	0.002312	0.001547	0.001042	0.002332	0.002563
K12982	0.020468	0.018527	0.020085	0.020863	0.016857	0.022298	0.016346	0.020649	0.020039	0.019412	0.020425	0.022327	0.022711	0.004679	0.023340	0.021556	0.026054	0.013521	0.007760	0.011510	0.009266	0.009683	0.011315	0.023972	0.022095	0.021716	0.012593	0.020701	0.017595	0.004527	0.007976	0.016078	0.011347	0.024955	0.021545	0.026440	0.021246	0.014173	0.012604	0.013934	0.018176	0.010840	0.005801	0.022782	0.021417	0.012867	0.012381	0.010624	0.021465	0.015681
